Mean data for IND  Province= 28: Punjab,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.231,292.83, 24.71, 22.37, 23.54,
1982, 2, 0.258,292.02, 25.43, 32.18, 28.81,
1982, 3, 0.289,291.52, 27.01, 42.61, 34.81,
1982, 4, 0.327,291.47, 30.15, 49.00, 39.57,
1982, 5, 0.364,291.37, 32.57, 59.05, 45.81,
1982, 6, 0.401,291.33, 37.04, 74.48, 55.76,
1982, 7, 0.430,291.49, 41.49, 88.45, 64.97,
1982, 8, 0.454,291.98, 48.24, 92.63, 70.44,
1982, 9, 0.469,292.71, 57.94, 94.36, 76.15,
1982,10, 0.473,293.58, 68.17, 95.42, 81.80,
1982,11, 0.467,294.75, 76.17, 94.25, 85.21,
1982,12, 0.452,296.11, 82.83, 91.89, 87.36,
1982,13, 0.424,297.65, 87.56, 88.35, 87.95,
1982,14, 0.381,299.31, 89.23, 85.67, 87.45,
1982,15, 0.323,300.72, 88.31, 86.35, 87.33,
1982,16, 0.263,302.36, 80.37, 86.14, 83.25,
1982,17, 0.216,303.81, 71.49, 86.93, 79.21,
1982,18, 0.182,304.93, 64.28, 88.69, 76.49,
1982,19, 0.157,306.06, 61.32, 88.41, 74.86,
1982,20, 0.140,307.16, 57.24, 82.71, 69.98,
1982,21, 0.128,308.04, 55.10, 72.19, 63.64,
1982,22, 0.120,308.53, 49.94, 59.30, 54.62,
1982,23, 0.115,308.82, 41.60, 45.21, 43.41,
1982,24, 0.112,308.60, 32.33, 33.78, 33.05,
1982,25, 0.111,307.52, 22.65, 29.28, 25.96,
1982,26, 0.115,306.29, 16.21, 28.93, 22.57,
1982,27, 0.123,304.86, 11.35, 31.52, 21.43,
1982,28, 0.135,303.05,  7.48, 36.53, 22.01,
1982,29, 0.155,301.38,  6.34, 43.67, 25.00,
1982,30, 0.179,299.90,  5.79, 49.67, 27.73,
1982,31, 0.209,299.06,  6.39, 50.55, 28.47,
1982,32, 0.246,298.95,  9.21, 45.46, 27.33,
1982,33, 0.292,299.30, 17.12, 37.32, 27.22,
1982,34, 0.327,299.89, 26.60, 27.81, 27.21,
1982,35, 0.350,300.40, 34.21, 21.37, 27.79,
1982,36, 0.361,300.99, 40.61, 17.69, 29.15,
1982,37, 0.359,301.23, 45.69, 23.95, 34.82,
1982,38, 0.347,301.15, 48.74, 34.80, 41.77,
1982,39, 0.328,301.24, 51.11, 39.17, 45.14,
1982,40, 0.310,301.27, 55.83, 42.35, 49.09,
1982,41, 0.286,301.30, 58.35, 43.93, 51.14,
1982,42, 0.262,301.35, 60.72, 41.66, 51.19,
1982,43, 0.240,301.04, 63.45, 41.43, 52.44,
1982,44, 0.217,300.56, 63.00, 41.46, 52.23,
1982,45, 0.195,299.93, 57.61, 40.75, 49.18,
1982,46, 0.174,299.23, 44.53, 36.05, 40.29,
1982,47, 0.160,298.47, 32.83, 30.61, 31.72,
1982,48, 0.153,297.72, 25.47, 24.83, 25.15,
1982,49, 0.150,296.98, 19.96, 24.30, 22.13,
1982,50, 0.151,296.14,  6.90, 10.06,  8.48,
1982,51, 0.157,295.00,  4.64, 12.11,  8.38,
1982,52, 0.167,293.87,  3.52, 17.21, 10.36,
1983, 1, 0.187,292.75,  3.03, 26.40, 14.71,
1983, 2, 0.210,292.04,  3.28, 34.20, 18.74,
1983, 3, 0.239,291.54,  3.87, 43.74, 23.81,
1983, 4, 0.277,291.34,  6.11, 53.30, 29.71,
1983, 5, 0.322,291.43, 11.13, 57.80, 34.47,
1983, 6, 0.364,291.78, 17.06, 63.47, 40.27,
1983, 7, 0.400,292.22, 24.86, 70.18, 47.52,
1983, 8, 0.430,292.65, 34.62, 77.29, 55.96,
1983, 9, 0.448,293.34, 45.88, 80.97, 63.43,
1983,10, 0.452,294.32, 53.97, 82.16, 68.06,
1983,11, 0.446,295.32, 61.86, 85.97, 73.92,
1983,12, 0.429,296.32, 67.37, 89.53, 78.45,
1983,13, 0.396,297.17, 69.04, 94.34, 81.69,
1983,14, 0.353,298.22, 69.28, 96.90, 83.09,
1983,15, 0.303,299.62, 72.46, 96.35, 84.41,
1983,16, 0.258,301.41, 75.90, 94.48, 85.19,
1983,17, 0.222,303.25, 78.33, 91.50, 84.91,
1983,18, 0.193,304.97, 77.77, 87.60, 82.69,
1983,19, 0.167,306.42, 75.33, 83.98, 79.66,
1983,20, 0.150,307.24, 70.42, 80.71, 75.56,
1983,21, 0.140,307.64, 70.54, 75.17, 72.85,
1983,22, 0.135,307.82, 67.53, 65.55, 66.54,
1983,23, 0.132,307.77, 59.84, 54.06, 56.95,
1983,24, 0.133,306.97, 53.36, 46.97, 50.16,
1983,25, 0.140,305.98, 49.37, 41.43, 45.40,
1983,26, 0.149,304.60, 42.80, 41.91, 42.36,
1983,27, 0.160,302.74, 35.62, 48.43, 42.02,
1983,28, 0.177,301.05, 31.69, 54.22, 42.95,
1983,29, 0.202,299.54, 32.22, 61.10, 46.66,
1983,30, 0.232,297.77, 33.20, 70.47, 51.84,
1983,31, 0.266,296.43, 35.63, 77.80, 56.72,
1983,32, 0.294,295.60, 35.17, 82.26, 58.71,
1983,33, 0.322,295.39, 34.82, 85.68, 60.25,
1983,34, 0.347,295.73, 38.92, 86.28, 62.60,
1983,35, 0.364,296.20, 42.83, 85.45, 64.14,
1983,36, 0.373,296.65, 47.91, 86.34, 67.12,
1983,37, 0.374,297.13, 54.02, 89.05, 71.54,
1983,38, 0.369,298.19, 61.52, 85.20, 73.36,
1983,39, 0.350,298.84, 63.68, 81.85, 72.76,
1983,40, 0.320,298.87, 61.06, 84.95, 73.00,
1983,41, 0.289,298.86, 58.85, 84.94, 71.89,
1983,42, 0.262,298.84, 58.65, 80.74, 69.69,
1983,43, 0.231,298.40, 54.15, 79.77, 66.96,
1983,44, 0.207,297.88, 49.25, 80.95, 65.10,
1983,45, 0.185,297.27, 41.61, 81.01, 61.31,
1983,46, 0.168,296.47, 35.17, 78.21, 56.69,
1983,47, 0.158,295.66, 30.08, 73.29, 51.68,
1983,48, 0.153,294.75, 26.29, 67.69, 46.99,
1983,49, 0.156,293.94, 25.37, 63.78, 44.58,
1983,50, 0.164,293.26, 15.19, 53.98, 34.59,
1983,51, 0.180,292.68, 16.91, 50.38, 33.64,
1983,52, 0.200,292.23, 19.50, 45.82, 32.66,
1984, 1, 0.223,291.82, 19.57, 43.84, 31.70,
1984, 2, 0.250,291.45, 21.15, 44.81, 32.98,
1984, 3, 0.286,291.41, 25.74, 45.14, 35.44,
1984, 4, 0.316,291.18, 26.10, 56.04, 41.07,
1984, 5, 0.348,291.29, 25.89, 61.36, 43.62,
1984, 6, 0.378,291.69, 26.29, 65.84, 46.06,
1984, 7, 0.401,292.21, 25.85, 70.34, 48.10,
1984, 8, 0.420,293.13, 27.87, 65.51, 46.69,
1984, 9, 0.429,294.05, 30.38, 64.47, 47.42,
1984,10, 0.431,295.10, 36.25, 66.26, 51.26,
1984,11, 0.421,296.45, 40.99, 66.73, 53.86,
1984,12, 0.400,297.94, 45.23, 66.21, 55.72,
1984,13, 0.371,299.59, 51.31, 65.08, 58.19,
1984,14, 0.337,301.24, 58.41, 66.04, 62.22,
1984,15, 0.295,303.05, 66.54, 65.16, 65.85,
1984,16, 0.247,305.25, 66.14, 60.44, 63.29,
1984,17, 0.204,307.14, 61.14, 57.30, 59.22,
1984,18, 0.174,308.81, 59.82, 54.73, 57.27,
1984,19, 0.150,309.49, 57.34, 58.08, 57.71,
1984,20, 0.131,310.03, 51.17, 57.29, 54.23,
1984,21, 0.118,310.50, 46.53, 50.97, 48.75,
1984,22, 0.106,309.50, 34.64, 51.38, 43.01,
1984,23, 0.097,307.58, 22.47, 55.13, 38.80,
1984,24, 0.097,305.11, 17.77, 61.22, 39.49,
1984,25, 0.106,302.70, 17.73, 66.62, 42.17,
1984,26, 0.122,300.59, 20.60, 72.83, 46.72,
1984,27, 0.145,298.70, 24.05, 80.61, 52.33,
1984,28, 0.172,297.48, 27.01, 85.25, 56.13,
1984,29, 0.202,296.93, 30.28, 85.48, 57.88,
1984,30, 0.236,296.48, 34.29, 83.15, 58.72,
1984,31, 0.274,296.00, 39.46, 82.64, 61.05,
1984,32, 0.302,295.29, 40.28, 85.73, 63.00,
1984,33, 0.327,295.72, 39.95, 81.94, 60.95,
1984,34, 0.346,296.67, 40.78, 73.88, 57.33,
1984,35, 0.359,297.17, 42.38, 71.13, 56.76,
1984,36, 0.365,297.95, 44.32, 65.76, 55.04,
1984,37, 0.363,298.91, 48.82, 60.67, 54.75,
1984,38, 0.356,299.97, 54.53, 54.36, 54.45,
1984,39, 0.340,301.01, 57.99, 42.33, 50.16,
1984,40, 0.314,301.91, 57.74, 30.12, 43.93,
1984,41, 0.284,302.83, 56.13, 17.91, 37.02,
1984,42, 0.250,303.40, 51.57,  9.94, 30.76,
1984,43, 0.216,303.45, 44.22,  7.06, 25.64,
1984,44, 0.187,302.88, 34.59,  8.35, 21.47,
1984,45, 0.165,301.92, 25.13, 11.46, 18.30,
1984,46, 0.151,300.87, 20.29, 11.53, 15.91,
1984,47, 0.142,299.87, 16.51,  9.74, 13.12,
1984,48, 0.137,299.04, 14.11,  6.31, 10.21,
1984,49, 0.133,298.69, 12.49,  2.92,  7.71,
1984,50,-1.000, -1.00, -1.00, -1.00, -1.00,
1984,51,-1.000, -1.00, -1.00, -1.00, -1.00,
1984,52,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 1,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 2,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 3,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 4,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 5,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 6,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 7,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 8,-1.000, -1.00, -1.00, -1.00, -1.00,
1985, 9, 0.432,300.64, 32.00,  0.67, 16.34,
1985,10, 0.423,300.90, 31.15,  1.54, 16.35,
1985,11, 0.401,301.43, 29.12,  4.09, 16.61,
1985,12, 0.370,302.14, 27.95, 13.19, 20.57,
1985,13, 0.332,303.17, 27.72, 24.00, 25.86,
1985,14, 0.292,304.55, 29.63, 32.58, 31.10,
1985,15, 0.249,306.31, 30.21, 35.14, 32.67,
1985,16, 0.208,308.47, 29.53, 31.47, 30.50,
1985,17, 0.174,310.39, 29.45, 28.08, 28.76,
1985,18, 0.149,312.42, 30.12, 22.88, 26.50,
1985,19, 0.130,313.94, 30.86, 17.82, 24.34,
1985,20, 0.116,314.65, 30.06, 15.11, 22.58,
1985,21, 0.105,314.62, 28.04, 14.91, 21.47,
1985,22, 0.097,313.86, 22.94, 15.20, 19.07,
1985,23, 0.092,312.30, 17.54, 17.23, 17.38,
1985,24, 0.093,310.23, 14.90, 20.81, 17.85,
1985,25, 0.099,308.10, 13.29, 24.63, 18.96,
1985,26, 0.107,305.67, 11.50, 33.60, 22.55,
1985,27, 0.122,303.28, 11.13, 44.19, 27.66,
1985,28, 0.146,300.99, 13.51, 55.01, 34.26,
1985,29, 0.175,299.19, 16.78, 64.80, 40.79,
1985,30, 0.209,298.11, 20.66, 67.58, 44.12,
1985,31, 0.245,297.84, 24.20, 64.03, 44.11,
1985,32, 0.279,298.02, 26.15, 56.88, 41.51,
1985,33, 0.308,298.39, 26.46, 50.07, 38.26,
1985,34, 0.331,298.74, 28.25, 45.59, 36.92,
1985,35, 0.349,299.28, 33.32, 39.88, 36.60,
1985,36, 0.359,300.02, 38.91, 34.47, 36.69,
1985,37, 0.359,300.66, 44.97, 34.49, 39.73,
1985,38, 0.353,301.01, 51.42, 38.86, 45.14,
1985,39, 0.340,300.98, 57.59, 45.54, 51.57,
1985,40, 0.327,301.09, 65.34, 46.92, 56.13,
1985,41, 0.310,301.20, 72.19, 46.47, 59.33,
1985,42, 0.286,301.01, 75.74, 47.48, 61.61,
1985,43, 0.258,300.72, 76.31, 46.63, 61.47,
1985,44, 0.228,300.22, 71.32, 47.00, 59.16,
1985,45, 0.207,299.52, 67.68, 47.33, 57.50,
1985,46, 0.194,298.75, 63.42, 43.60, 53.51,
1985,47, 0.186,297.82, 56.28, 40.48, 48.38,
1985,48, 0.188,296.86, 52.52, 37.24, 44.88,
1985,49, 0.194,295.60, 49.07, 42.07, 45.57,
1985,50, 0.204,294.31, 38.67, 37.24, 37.95,
1985,51, 0.222,293.18, 38.68, 41.27, 39.98,
1985,52, 0.249,292.37, 42.62, 42.97, 42.79,
1986, 1, 0.279,291.87, 44.63, 42.69, 43.66,
1986, 2, 0.308,291.71, 45.76, 39.08, 42.42,
1986, 3, 0.339,291.79, 47.16, 36.10, 41.63,
1986, 4, 0.373,292.01, 49.34, 35.96, 42.65,
1986, 5, 0.406,292.31, 51.84, 37.09, 44.47,
1986, 6, 0.437,292.83, 55.87, 39.29, 47.58,
1986, 7, 0.461,293.56, 61.24, 38.31, 49.78,
1986, 8, 0.473,294.39, 63.26, 37.65, 50.46,
1986, 9, 0.475,295.22, 64.82, 40.23, 52.52,
1986,10, 0.469,296.22, 66.12, 46.23, 56.18,
1986,11, 0.453,297.50, 67.04, 50.49, 58.77,
1986,12, 0.429,299.08, 68.06, 50.50, 59.28,
1986,13, 0.394,300.78, 68.47, 50.82, 59.65,
1986,14, 0.351,302.74, 68.74, 50.50, 59.62,
1986,15, 0.293,304.74, 65.19, 49.48, 57.34,
1986,16, 0.243,306.93, 62.40, 45.23, 53.82,
1986,17, 0.199,308.99, 55.21, 40.52, 47.86,
1986,18, 0.167,310.24, 49.87, 41.93, 45.90,
1986,19, 0.143,310.94, 46.74, 44.72, 45.73,
1986,20, 0.127,311.26, 42.88, 45.92, 44.40,
1986,21, 0.117,311.56, 41.39, 41.88, 41.63,
1986,22, 0.109,311.34, 35.39, 36.21, 35.80,
1986,23, 0.105,310.59, 30.23, 30.92, 30.57,
1986,24, 0.106,309.54, 26.61, 26.08, 26.35,
1986,25, 0.114,308.12, 25.88, 24.17, 25.03,
1986,26, 0.129,305.83, 26.93, 32.06, 29.49,
1986,27, 0.154,303.56, 30.41, 41.58, 36.00,
1986,28, 0.187,301.61, 35.41, 49.05, 42.23,
1986,29, 0.221,300.24, 40.11, 54.50, 47.30,
1986,30, 0.257,299.28, 44.13, 56.01, 50.07,
1986,31, 0.294,298.59, 49.18, 56.03, 52.60,
1986,32, 0.328,298.35, 53.09, 52.97, 53.03,
1986,33, 0.351,298.62, 53.83, 46.79, 50.31,
1986,34, 0.367,299.46, 54.67, 34.86, 44.76,
1986,35, 0.375,299.92, 53.30, 29.64, 41.47,
1986,36, 0.375,300.15, 51.61, 32.02, 41.81,
1986,37, 0.367,300.33, 51.29, 39.27, 45.28,
1986,38, 0.351,300.40, 51.56, 48.55, 50.05,
1986,39, 0.329,300.21, 51.84, 58.75, 55.29,
1986,40, 0.300,299.99, 50.36, 66.20, 58.28,
1986,41, 0.269,299.95, 48.11, 67.53, 57.82,
1986,42, 0.240,300.00, 46.44, 63.37, 54.91,
1986,43, 0.212,299.95, 43.12, 57.80, 50.46,
1986,44, 0.193,299.69, 40.79, 54.70, 47.75,
1986,45, 0.177,299.32, 37.73, 50.39, 44.06,
1986,46, 0.166,298.65, 35.61, 45.26, 40.44,
1986,47, 0.164,297.77, 35.51, 41.51, 38.51,
1986,48, 0.171,296.35, 38.24, 44.78, 41.51,
1986,49, 0.184,294.87, 40.74, 51.93, 46.33,
1986,50, 0.202,293.63, 35.79, 48.53, 42.16,
1986,51, 0.223,292.78, 38.59, 48.90, 43.75,
1986,52, 0.249,292.11, 42.63, 48.15, 45.39,
1987, 1, 0.278,291.78, 44.87, 44.81, 44.84,
1987, 2, 0.312,291.77, 48.72, 37.85, 43.29,
1987, 3, 0.351,292.09, 54.24, 29.51, 41.88,
1987, 4, 0.383,292.36, 56.45, 27.54, 42.00,
1987, 5, 0.410,292.57, 55.74, 30.47, 43.10,
1987, 6, 0.428,293.05, 51.75, 32.77, 42.26,
1987, 7, 0.441,293.74, 47.54, 32.10, 39.82,
1987, 8, 0.448,294.53, 43.49, 32.48, 37.98,
1987, 9, 0.447,295.35, 40.55, 35.80, 38.18,
1987,10, 0.437,296.29, 38.05, 43.43, 40.74,
1987,11, 0.413,297.14, 34.13, 55.54, 44.83,
1987,12, 0.378,297.94, 29.88, 66.54, 48.21,
1987,13, 0.338,299.37, 28.27, 68.08, 48.18,
1987,14, 0.295,301.40, 29.35, 64.50, 46.92,
1987,15, 0.251,303.33, 31.94, 62.66, 47.30,
1987,16, 0.211,304.94, 31.00, 63.21, 47.11,
1987,17, 0.181,306.19, 34.49, 65.67, 50.08,
1987,18, 0.159,307.27, 38.55, 68.02, 53.29,
1987,19, 0.144,308.24, 44.56, 68.58, 56.57,
1987,20, 0.136,309.10, 51.60, 65.01, 58.30,
1987,21, 0.134,310.14, 61.43, 53.80, 57.61,
1987,22, 0.133,310.99, 66.58, 38.88, 52.73,
1987,23, 0.136,311.51, 65.90, 23.64, 44.77,
1987,24, 0.140,311.33, 60.62, 12.31, 36.46,
1987,25, 0.147,310.64, 53.45,  5.25, 29.35,
1987,26, 0.159,309.85, 47.47,  1.80, 24.63,
1987,27, 0.173,308.80, 40.89,  0.70, 20.80,
1987,28, 0.191,307.29, 36.28,  0.44, 18.36,
1987,29, 0.213,306.18, 34.44,  0.31, 17.37,
1987,30, 0.238,305.16, 33.67,  0.22, 16.95,
1987,31, 0.264,304.08, 32.96,  0.26, 16.61,
1987,32, 0.288,303.16, 30.80,  0.36, 15.58,
1987,33, 0.308,302.38, 27.23,  0.75, 13.99,
1987,34, 0.323,301.86, 24.41,  1.67, 13.04,
1987,35, 0.335,301.72, 23.96,  2.73, 13.34,
1987,36, 0.340,301.98, 26.11,  3.46, 14.78,
1987,37, 0.337,302.68, 30.81,  2.09, 16.45,
1987,38, 0.329,303.10, 37.23,  2.78, 20.00,
1987,39, 0.315,303.19, 42.93,  5.17, 24.05,
1987,40, 0.295,303.16, 46.78,  9.38, 28.08,
1987,41, 0.272,303.13, 49.33, 13.32, 31.33,
1987,42, 0.247,302.89, 50.71, 17.27, 33.99,
1987,43, 0.245,293.98, 49.76, 28.24, 39.00,
1987,44, 0.208,302.00, 51.47, 20.24, 35.86,
1987,45, 0.192,301.25, 50.48, 20.84, 35.66,
1987,46, 0.184,300.10, 51.72, 23.01, 37.36,
1987,47, 0.180,298.56, 49.48, 29.60, 39.54,
1987,48, 0.184,296.90, 48.60, 36.94, 42.77,
1987,49, 0.194,295.42, 46.74, 44.75, 45.75,
1987,50, 0.205,294.55, 36.62, 33.91, 35.27,
1987,51, 0.222,293.90, 36.07, 29.71, 32.89,
1987,52, 0.243,293.36, 37.60, 25.60, 31.60,
1988, 1, 0.275,293.05, 41.79, 21.32, 31.55,
1988, 2, 0.315,292.96, 48.70, 17.48, 33.09,
1988, 3, 0.352,292.76, 53.87, 18.89, 36.38,
1988, 4, 0.381,292.55, 55.47, 25.98, 40.72,
1988, 5, 0.407,292.74, 55.33, 28.26, 41.80,
1988, 6, 0.426,293.33, 52.68, 28.47, 40.57,
1988, 7, 0.438,294.06, 48.02, 28.10, 38.06,
1988, 8, 0.442,294.94, 41.31, 28.21, 34.76,
1988, 9, 0.440,295.96, 36.83, 26.86, 31.85,
1988,10, 0.430,297.04, 34.14, 30.73, 32.43,
1988,11, 0.410,298.21, 32.68, 38.03, 35.36,
1988,12, 0.381,299.59, 32.50, 42.74, 37.62,
1988,13, 0.341,301.38, 31.83, 43.35, 37.59,
1988,14, 0.298,303.74, 32.37, 40.10, 36.23,
1988,15, 0.256,306.82, 36.52, 30.21, 33.37,
1988,16, 0.217,309.14, 38.01, 25.36, 31.69,
1988,17, 0.182,310.88, 37.76, 23.70, 30.73,
1988,18, 0.157,312.14, 38.73, 25.39, 32.06,
1988,19, 0.136,312.89, 37.91, 27.18, 32.55,
1988,20, 0.119,313.11, 34.07, 28.97, 31.52,
1988,21, 0.108,312.73, 31.20, 31.24, 31.22,
1988,22, 0.102,311.86, 28.25, 31.41, 29.83,
1988,23, 0.099,309.79, 23.80, 37.05, 30.42,
1988,24, 0.100,306.79, 20.28, 47.65, 33.97,
1988,25, 0.107,303.31, 19.76, 61.39, 40.58,
1988,26, 0.120,300.23, 19.64, 73.71, 46.68,
1988,27, 0.141,297.79, 21.30, 83.38, 52.34,
1988,28, 0.175,296.40, 27.88, 87.62, 57.75,
1988,29, 0.217,295.80, 37.02, 88.80, 62.91,
1988,30, 0.261,295.87, 45.79, 84.71, 65.25,
1988,31, 0.303,295.94, 53.34, 80.52, 66.93,
1988,32, 0.338,296.25, 58.50, 74.47, 66.49,
1988,33, 0.365,296.95, 61.42, 66.55, 63.98,
1988,34, 0.380,297.93, 61.49, 55.54, 58.51,
1988,35, 0.386,299.06, 58.54, 42.06, 50.30,
1988,36, 0.384,299.82, 54.84, 36.42, 45.63,
1988,37, 0.372,300.31, 52.26, 38.79, 45.52,
1988,38, 0.353,300.81, 51.19, 40.89, 46.04,
1988,39, 0.327,301.29, 49.09, 38.58, 43.84,
1988,40, 0.298,301.88, 47.59, 31.95, 39.77,
1988,41, 0.275,302.39, 48.82, 25.71, 37.26,
1988,42, 0.247,302.73, 47.38, 20.28, 33.83,
1988,43, 0.219,302.56, 43.40, 19.33, 31.36,
1988,44, 0.200,301.79, 41.44, 23.21, 32.33,
1988,45, 0.191,300.94, 44.77, 25.20, 34.98,
1988,46, 0.193,300.34, 57.50, 18.90, 38.20,
1988,47, 0.199,299.36, 65.09, 17.12, 41.10,
1988,48, 0.210,298.29, 68.06, 16.83, 42.44,
1988,49, 0.220,297.08, 66.23, 22.79, 44.51,
1988,50, 0.232,295.51, 56.30, 19.25, 37.78,
1988,51, 0.250,293.73, 54.43, 32.13, 43.28,
1988,52, 0.280,292.55, 58.37, 39.51, 48.94,
1989, 1, 0.315,291.88, 62.67, 42.21, 52.44,
1989, 2, 0.350,291.61, 66.60, 41.26, 53.93,
1989, 3, 0.378,291.55, 67.74, 41.94, 54.84,
1989, 4, 0.403,291.69, 67.56, 44.47, 56.02,
1989, 5, 0.425,291.80, 65.79, 49.73, 57.76,
1989, 6, 0.446,292.27, 64.71, 52.52, 58.61,
1989, 7, 0.463,293.09, 64.56, 48.87, 56.71,
1989, 8, 0.473,294.00, 63.08, 45.49, 54.29,
1989, 9, 0.472,295.10, 60.16, 41.51, 50.83,
1989,10, 0.463,296.33, 59.58, 42.62, 51.10,
1989,11, 0.446,297.57, 60.40, 48.30, 54.35,
1989,12, 0.425,299.06, 64.82, 50.17, 57.50,
1989,13, 0.397,301.02, 70.49, 47.55, 59.02,
1989,14, 0.359,303.30, 74.99, 44.52, 59.75,
1989,15, 0.315,305.99, 80.63, 37.77, 59.20,
1989,16, 0.266,308.50, 80.99, 30.91, 55.95,
1989,17, 0.224,310.60, 79.39, 25.94, 52.66,
1989,18, 0.194,312.32, 78.73, 23.39, 51.06,
1989,19, 0.169,313.56, 77.77, 20.83, 49.30,
1989,20, 0.151,314.38, 76.80, 16.99, 46.89,
1989,21, 0.138,314.39, 72.92, 16.73, 44.82,
1989,22, 0.127,313.49, 62.89, 18.09, 40.49,
1989,23, 0.125,311.78, 55.00, 21.19, 38.10,
1989,24, 0.130,309.80, 50.09, 24.06, 37.08,
1989,25, 0.143,308.02, 49.39, 25.28, 37.34,
1989,26, 0.162,306.23, 49.82, 29.36, 39.59,
1989,27, 0.189,304.43, 50.43, 35.07, 42.75,
1989,28, 0.219,302.91, 52.16, 38.06, 45.11,
1989,29, 0.253,301.80, 55.38, 40.26, 47.82,
1989,30, 0.286,301.00, 58.33, 39.40, 48.86,
1989,31, 0.315,300.49, 59.91, 36.22, 48.07,
1989,32, 0.341,300.06, 60.48, 33.53, 47.00,
1989,33, 0.363,300.18, 61.02, 26.75, 43.88,
1989,34, 0.379,300.40, 61.32, 20.94, 41.13,
1989,35, 0.388,300.65, 60.39, 17.94, 39.17,
1989,36, 0.388,301.10, 58.38, 16.40, 37.39,
1989,37, 0.378,301.61, 56.89, 18.64, 37.76,
1989,38, 0.362,302.19, 56.91, 17.85, 37.38,
1989,39, 0.339,302.58, 56.07, 16.03, 36.05,
1989,40, 0.310,302.82, 53.94, 15.35, 34.64,
1989,41, 0.280,302.91, 52.13, 16.90, 34.51,
1989,42, 0.253,302.74, 52.39, 19.68, 36.04,
1989,43, 0.229,302.28, 52.19, 23.07, 37.63,
1989,44, 0.210,301.59, 52.07, 26.12, 39.10,
1989,45, 0.199,300.76, 56.14, 28.02, 42.08,
1989,46, 0.194,299.90, 62.59, 25.63, 44.11,
1989,47, 0.194,298.84, 62.40, 24.73, 43.57,
1989,48, 0.199,297.49, 60.42, 28.01, 44.22,
1989,49, 0.209,296.14, 57.66, 35.18, 46.42,
1989,50, 0.227,294.86, 51.34, 28.82, 40.08,
1989,51, 0.251,293.81, 53.90, 30.56, 42.23,
1989,52, 0.282,293.17, 59.06, 27.91, 43.49,
1990, 1, 0.317,292.91, 64.00, 20.46, 42.23,
1990, 2, 0.354,292.87, 68.71, 13.85, 41.28,
1990, 3, 0.386,292.92, 72.16, 11.11, 41.63,
1990, 4, 0.413,293.04, 73.22, 12.50, 42.86,
1990, 5, 0.437,293.04, 72.74, 19.48, 46.11,
1990, 6, 0.456,293.19, 71.24, 29.14, 50.19,
1990, 7, 0.468,293.49, 67.96, 38.27, 53.11,
1990, 8, 0.473,293.99, 62.83, 44.83, 53.83,
1990, 9, 0.470,294.71, 58.82, 49.51, 54.17,
1990,10, 0.187,308.69, 67.78, 55.80, 61.79,
1990,11, 0.435,296.57, 51.10, 64.71, 57.90,
1990,12, 0.402,297.70, 47.93, 69.55, 58.74,
1990,13, 0.363,299.27, 47.28, 68.83, 58.06,
1990,14, 0.323,301.48, 50.27, 63.35, 56.81,
1990,15, 0.281,304.05, 55.42, 55.69, 55.56,
1990,16, 0.234,306.29, 53.34, 50.97, 52.16,
1990,17, 0.193,307.92, 48.01, 50.19, 49.10,
1990,18, 0.160,309.15, 41.74, 51.50, 46.62,
1990,19, 0.136,310.03, 37.00, 52.69, 44.84,
1990,20, 0.119,310.46, 31.98, 52.89, 42.44,
1990,21, 0.109,310.88, 31.35, 47.61, 39.48,
1990,22, 0.106,310.86, 31.82, 40.22, 36.02,
1990,23, 0.108,309.94, 31.82, 36.47, 34.15,
1990,24, 0.115,307.99, 33.16, 38.79, 35.98,
1990,25, 0.128,305.52, 34.46, 44.96, 39.71,
1990,26, 0.150,303.04, 38.88, 54.24, 46.56,
1990,27, 0.182,301.16, 45.24, 61.26, 53.25,
1990,28, 0.219,299.68, 51.65, 66.43, 59.04,
1990,29, 0.256,298.42, 56.85, 71.80, 64.32,
1990,30, 0.293,297.71, 61.98, 71.32, 66.65,
1990,31, 0.328,297.44, 66.30, 67.98, 67.14,
1990,32, 0.355,297.32, 68.22, 64.21, 66.22,
1990,33, 0.377,297.19, 68.74, 64.36, 66.55,
1990,34, 0.389,297.53, 67.66, 61.85, 64.76,
1990,35, 0.394,298.00, 64.39, 58.72, 61.56,
1990,36, 0.391,298.33, 60.17, 60.40, 60.29,
1990,37, 0.380,298.68, 58.02, 65.04, 61.53,
1990,38, 0.362,299.04, 57.12, 71.12, 64.12,
1990,39, 0.341,299.58, 57.99, 69.08, 63.54,
1990,40, 0.316,300.06, 58.19, 63.87, 61.03,
1990,41, 0.288,300.48, 56.56, 57.57, 57.06,
1990,42, 0.259,300.65, 54.62, 52.10, 53.36,
1990,43, 0.236,300.62, 54.44, 47.02, 50.73,
1990,44, 0.222,300.39, 56.94, 43.58, 50.26,
