Mean data for IND  Province= 35: West Bengal,  from 1981 to 2026, weekly; version='GC_current'<br>for cropland area only<br>
year,week, SMN,SMT,VCI,TCI, VHI<br>
<tt><pre>1982, 1, 0.178,297.13, 44.26, 53.06, 48.66,
1982, 2, 0.173,297.58, 40.92, 46.67, 43.79,
1982, 3, 0.167,297.91, 36.99, 45.50, 41.24,
1982, 4, 0.166,298.40, 36.40, 44.73, 40.56,
1982, 5, 0.167,299.01, 36.19, 45.04, 40.61,
1982, 6, 0.168,299.54, 34.86, 48.09, 41.48,
1982, 7, 0.170,300.00, 32.49, 53.32, 42.91,
1982, 8, 0.172,300.60, 30.10, 57.13, 43.61,
1982, 9, 0.176,301.23, 29.15, 60.62, 44.89,
1982,10, 0.182,302.00, 30.30, 60.04, 45.17,
1982,11, 0.187,302.76, 31.33, 57.95, 44.64,
1982,12, 0.189,303.32, 31.37, 57.35, 44.36,
1982,13, 0.190,303.77, 31.53, 56.60, 44.07,
1982,14, 0.189,304.05, 31.21, 54.95, 43.08,
1982,15, 0.186,303.69, 31.14, 61.45, 46.30,
1982,16, 0.181,303.45, 29.63, 60.89, 45.26,
1982,17, 0.177,303.60, 28.83, 51.37, 40.10,
1982,18, 0.171,303.25, 26.43, 41.75, 34.09,
1982,19, 0.165,302.81, 24.24, 32.14, 28.19,
1982,20, 0.159,301.88, 24.04, 31.88, 27.96,
1982,21, 0.154,300.27, 22.53, 31.06, 26.80,
1982,22, 0.149,298.14, 22.22, 31.01, 26.62,
1982,23, 0.146,295.88, 24.98, 30.02, 27.50,
1982,24, 0.144,294.11, 29.08, 25.52, 27.30,
1982,25, 0.145,293.18, 34.10, 19.37, 26.74,
1982,26, 0.148,292.41, 39.08, 14.42, 26.75,
1982,27, 0.149,291.79, 42.92, 11.58, 27.25,
1982,28, 0.147,290.45, 43.01, 12.86, 27.93,
1982,29, 0.147,289.55, 43.22, 13.19, 28.21,
1982,30, 0.148,288.64, 41.50, 14.45, 27.98,
1982,31, 0.149,287.93, 38.02, 17.12, 27.57,
1982,32, 0.154,287.86, 35.76, 18.50, 27.13,
1982,33, 0.165,288.49, 35.19, 19.32, 27.26,
1982,34, 0.179,289.64, 35.10, 18.57, 26.83,
1982,35, 0.199,291.33, 36.59, 15.34, 25.96,
1982,36, 0.225,293.07, 40.01, 13.22, 26.61,
1982,37, 0.253,294.70, 44.18, 11.25, 27.72,
1982,38, 0.279,296.35, 46.84,  9.32, 28.08,
1982,39, 0.297,297.53, 46.61,  8.72, 27.67,
1982,40, 0.311,298.36, 45.64,  8.25, 26.94,
1982,41, 0.317,298.93, 42.71,  9.72, 26.21,
1982,42, 0.314,299.24, 39.28, 12.24, 25.76,
1982,43, 0.303,299.38, 34.54, 16.75, 25.65,
1982,44, 0.284,299.43, 29.61, 21.74, 25.68,
1982,45, 0.260,299.42, 26.14, 25.85, 25.99,
1982,46, 0.235,299.44, 25.10, 27.88, 26.49,
1982,47, 0.212,299.57, 25.73, 26.43, 26.08,
1982,48, 0.193,299.55, 27.90, 25.60, 26.75,
1982,49, 0.178,299.65, 28.01, 22.98, 25.49,
1982,50, 0.164,299.59, 22.52, 18.82, 20.67,
1982,51, 0.154,299.50, 19.89, 17.66, 18.77,
1982,52, 0.146,299.35, 15.79, 17.44, 16.61,
1983, 1, 0.142,299.25, 10.10, 16.84, 13.47,
1983, 2, 0.140,299.19, 10.74, 18.02, 14.38,
1983, 3, 0.138,299.18, 11.03, 22.62, 16.83,
1983, 4, 0.136,299.15, 10.41, 31.22, 20.81,
1983, 5, 0.136,299.19, 10.02, 41.66, 25.84,
1983, 6, 0.139,299.60, 10.34, 47.08, 28.71,
1983, 7, 0.143,300.29, 10.53, 49.38, 29.95,
1983, 8, 0.148,301.17, 10.90, 49.88, 30.39,
1983, 9, 0.153,302.16, 11.88, 48.96, 30.42,
1983,10, 0.157,303.11, 12.52, 46.85, 29.69,
1983,11, 0.159,303.80, 12.52, 46.42, 29.47,
1983,12, 0.159,304.04, 11.92, 49.84, 30.88,
1983,13, 0.158,304.15, 11.29, 52.91, 32.10,
1983,14, 0.159,304.11, 11.88, 54.51, 33.20,
1983,15, 0.161,304.00, 14.89, 57.25, 36.07,
1983,16, 0.162,303.72, 17.11, 56.65, 36.88,
1983,17, 0.165,302.96, 19.77, 58.32, 39.04,
1983,18, 0.169,302.07, 24.22, 56.15, 40.19,
1983,19, 0.174,301.14, 29.35, 52.95, 41.15,
1983,20, 0.178,300.42, 36.18, 46.82, 41.50,
1983,21, 0.185,300.35, 43.54, 30.98, 37.26,
